cpu_socket,motherboard_socket,cpu_cores,cpu_threads,cpu_base_clock,cpu_boost_clock,cpu_tdp,motherboard_ram_type,motherboard_ram_slots,motherboard_chipset,label
LGA2011,LGA2011,10,20,2.5,3.3,115.0,DDR4,8,Intel X99,1
AM5,AM5,8,16,4.7,5.2,120.0,DDR5,4,AMD X670,1
LGA2066,LGA1851,10,20,3.5,4.4,165.0,DDR5,4,Intel Z890,0
LGA2066,LGA1151,18,36,3.0,4.8,165.0,DDR4,4,Intel B365,0
LGA2066,LGA2066,6,12,3.5,4.0,140.0,DDR4,4,Intel X299,1
LGA1151,LGA1151,4,8,2.9,3.9,45.0,DDR4,4,Intel B360,1
AM4,LGA1700,6,12,3.6,4.0,95.0,DDR5,4,Intel Z790,0
LGA1851,LGA1700,14,14,3.4,5.0,65.0,DDR5,4,Intel Z790,0
LGA1151,LGA2011,4,8,3.4,4.0,65.0,DDR4,4,Intel X99,0
LGA1151,LGA1151,8,16,3.6,5.0,95.0,DDR4,4,Intel H270,1
LGA2011,LGA2011,8,16,2.7,3.3,130.0,DDR4,8,Intel X99,1
LGA2011,LGA2011,6,12,2.4,3.2,85.0,DDR4,8,Intel X99,1
AM4,AM4,6,12,3.8,4.4,95.0,DDR4,2,AMD X570,1
LGA2011,LGA1700,10,20,3.1,3.5,160.0,DDR4,4,Intel Z690,0
LGA1700,LGA1700,14,20,3.5,5.1,125.0,DDR5,2,Intel B760,1
LGA2066,LGA1700,12,24,3.5,4.4,165.0,DDR4,2,Intel B760,0
LGA1200,LGA1200,4,8,3.6,4.3,65.0,DDR4,4,Intel Z490,1
LGA2011,LGA1700,6,12,2.4,3.2,85.0,DDR5,4,Intel B760,0
LGA1151,LGA1700,6,6,3.0,4.4,65.0,DDR4,4,Intel B660,0
LGA1700,LGA1700,24,32,3.2,6.0,125.0,DDR5,4,Intel B760,1
LGA2011,LGA1700,8,16,2.6,3.3,115.0,DDR5,4,Intel B760,0
LGA1151,AM5,6,12,4.0,4.9,95.0,DDR5,4,AMD X870,0
LGA1151,LGA1151,4,4,2.7,3.3,65.0,DDR4,2,Intel B360,1
LGA1150,LGA1151,4,8,4.0,4.4,88.0,DDR4,2,Intel B360,0
AM5,AM5,8,16,4.1,5.0,65.0,DDR5,4,AMD B650,1
LGA1700,LGA1700,12,20,2.1,4.9,65.0,DDR4,2,Intel H610,1
LGA1200,LGA1151,6,12,4.1,4.8,125.0,DDR4,4,Intel B360,0
LGA2011,LGA1700,22,44,2.2,3.6,145.0,DDR4,4,Intel Z690,0
LGA1151,LGA1151,8,16,3.6,5.0,95.0,DDR4,2,Intel H310,1
AM4,AM4,8,16,3.8,4.7,105.0,DDR4,4,AMD X570,1
AM4,AM4,6,12,3.6,4.2,65.0,DDR4,4,AMD B550,1
LGA1151,AM4,4,4,2.4,3.0,35.0,DDR4,4,AMD B550,0
LGA1700,LGA1700,14,20,3.5,5.1,125.0,DDR5,2,Intel Z790,1
LGA1151,LGA1200,2,4,3.8,,54.0,DDR4,4,Intel B460,0
LGA1151,AM4,4,4,2.7,3.3,65.0,DDR4,4,AMD X570,0
AM4,AM4,8,16,3.9,4.7,105.0,DDR4,4,AMD B550,1
LGA1151,AM5,4,8,3.7,4.1,73.0,DDR5,2,AMD X870,0
FM2,LGA1700,2,2,3.8,4.0,65.0,DDR5,2,Intel B760,0
LGA1151,LGA2011,6,6,3.3,4.5,80.0,DDR4,8,Intel X99,0
STR5,LGA1700,32,64,4.0,5.3,350.0,DDR4,4,Intel H670,0
STR5,LGA775,64,128,3.2,5.1,350.0,DDR2,4,Intel P45,0
LGA1200,AM4,4,8,3.6,4.3,65.0,DDR4,4,AMD B450,0
LGA1150,LGA1700,4,8,3.6,4.0,80.0,DDR5,4,Intel Z690,0
LGA1200,LGA1700,6,12,4.1,4.8,125.0,DDR5,2,Intel Z690,0
LGA1200,LGA1366,8,16,2.5,5.2,65.0,DDR3,6,Intel X58,0
LGA1150,LGA1150,4,8,3.4,3.8,84.0,DDR3,4,Intel B85,1
LGA1150,AM4,4,8,2.7,3.9,45.0,DDR4,4,AMD X470,0
LGA1150,LGA1150,4,8,3.4,3.8,80.0,DDR3,2,Intel B85,1
LGA1700,LGA1700,4,8,3.5,4.7,58.0,DDR5,4,Intel Z790,1
LGA1151,LGA1151,4,4,3.6,4.2,65.0,DDR4,4,Intel B150,1
LGA1151,LGA1151,4,4,3.7,4.4,62.0,DDR4,4,Intel B360,1
LGA1151,LGA1151,8,8,3.6,4.9,95.0,DDR4,4,Intel B365,1
FM2,AM4,2,2,3.8,4.0,65.0,DDR4,2,AMD A520,0
AM4,AM4,16,32,3.5,4.7,105.0,DDR4,2,AMD X570,1
LGA1151,LGA1151,4,4,2.5,3.1,35.0,DDR4,4,Intel B360,1
AM3+,AM5,8,8,4.7,5.0,220.0,DDR5,2,AMD B650,0
FM2+,LGA1155,4,4,3.5,3.8,65.0,DDR3,2,Intel H61,0
LGA2066,LGA2066,18,36,3.0,4.8,165.0,DDR4,8,Intel X299,1
FM2+,AM5,2,2,3.5,3.9,65.0,DDR5,4,AMD B650,0
LGA2011,AM3+,6,12,3.2,3.8,130.0,DDR3,4,AMD 970,0
LGA2011,LGA2011,10,20,3.0,3.6,130.0,DDR4,8,Intel X99,1
LGA1200,LGA1200,6,12,3.9,4.9,125.0,DDR4,4,Intel B460,1
AM4,AM4,8,16,3.9,4.5,105.0,DDR4,2,AMD A520,1
LGA1200,LGA1200,4,8,3.6,4.3,65.0,DDR4,4,Intel Z590,1
AM5,LGA1155,12,24,3.7,5.4,65.0,DDR3,2,Intel H61,0
LGA1700,AM5,4,8,3.3,4.3,60.0,DDR5,4,AMD B850,0
LGA1151,LGA1151,4,4,3.5,3.9,91.0,DDR4,4,Intel B365,1
AM4,AM4,4,4,3.2,3.6,65.0,DDR4,4,AMD X570,1
AM5,TRX4,6,12,4.2,4.7,65.0,DDR4,8,AMD TRX40,0
LGA1151,AM3+,4,4,3.0,3.5,65.0,DDR3,4,AMD 880G,0
LGA2011,AM5,8,16,3.2,3.6,135.0,DDR5,4,AMD B840,0
AM3+,LGA1200,4,4,4.0,4.2,95.0,DDR4,2,Intel B560,0
LGA1700,LGA1151,10,16,3.7,4.9,125.0,DDR4,4,Intel Z270,0
LGA1151,LGA1151,4,8,3.5,3.9,80.0,DDR4,4,Intel Z370,1
LGA1151,LGA1851,8,8,3.6,4.9,95.0,DDR5,4,Intel B860,0
LGA1151,LGA1151,8,16,3.6,5.0,95.0,DDR4,2,Intel H310,1
LGA1150,LGA1150,4,8,4.0,4.4,88.0,DDR3,4,Intel Z97,1
LGA2066,LGA1851,18,36,2.6,4.4,165.0,DDR5,4,Intel Z890,0
LGA1151,LGA1151,4,4,2.7,3.3,65.0,DDR4,4,Intel Z170,1
LGA2011,LGA1150,4,8,3.6,3.8,130.0,DDR3,4,Intel Z97,0
LGA1150,AM4,4,4,2.9,3.4,65.0,DDR4,4,AMD B550,0
LGA1700,LGA1700,10,16,2.5,4.7,65.0,DDR4,4,Intel B660,1
LGA2066,TRX4,8,16,3.6,4.5,140.0,DDR4,8,AMD TRX40,0
FM2+,LGA1700,4,4,3.6,3.9,95.0,DDR4,4,Intel B660,0
AM4,AM4,2,2,3.8,4.0,65.0,DDR4,4,AMD B550,1
STR5,LGA1700,64,128,3.2,5.4,350.0,DDR4,4,Intel B760,0
LGA2011,LGA1200,6,12,3.5,3.8,140.0,DDR4,2,Intel H510,0
LGA1150,LGA1151,4,8,3.5,3.9,80.0,DDR4,2,Intel B150,0
LGA1150,LGA775,4,8,3.3,3.7,80.0,DDR3,2,Intel G41,0
LGA1200,LGA1150,6,12,3.1,4.5,65.0,DDR3,4,Intel Q87,0
AM4,AM4,8,16,3.0,3.7,65.0,DDR4,4,AMD X570,1
AM4,LGA1700,4,4,3.5,3.8,65.0,DDR4,4,Intel B760,0
LGA2011,LGA2011,4,8,3.5,3.8,140.0,DDR3,4,Intel X79,1
LGA1151,LGA2011,4,8,3.5,4.5,71.0,DDR3,4,Intel X79,0
LGA1200,LGA1200,4,8,3.6,4.3,65.0,DDR4,4,Intel B460,1
AM4,AM5,4,4,3.5,3.8,65.0,DDR5,4,AMD X870E,0
FM2+,LGA1150,4,4,4.1,4.3,95.0,DDR3,4,Intel B85,0
AM4,AM3+,4,8,3.6,3.9,65.0,DDR3,4,AMD 760G,0
LGA1151,LGA1151,4,4,3.0,3.5,72.0,DDR4,4,Intel Z370,1
AM3+,AM5,8,8,3.4,4.3,95.0,DDR5,4,AMD B650,0
LGA2066,LGA1700,4,4,4.0,4.2,112.0,DDR4,2,Intel B660,0
LGA1151,LGA1150,8,16,3.6,5.0,95.0,DDR3,4,Intel Z97,0
FM2,LGA1150,4,4,2.5,3.5,45.0,DDR3,4,Intel Z87,0
LGA1700,LGA1700,10,16,2.5,4.7,65.0,DDR4,2,Intel B760,1
LGA1200,LGA1200,6,12,3.9,4.9,125.0,DDR4,4,Intel Z590,1
LGA1151,LGA1700,8,8,3.0,4.7,65.0,DDR4,4,Intel B760,0
AM5,AM3,16,32,4.3,5.7,170.0,DDR3,4,AMD 870,0
TR4,LGA1151,8,16,3.8,4.0,180.0,DDR4,4,Intel Z270,0
AM4,AM4,8,16,3.0,3.7,65.0,DDR4,4,AMD X570,1
LGA2011,LGA1150,6,12,3.6,4.0,140.0,DDR3,4,Intel B85,0
LGA1151,LGA1151,4,4,3.3,3.7,80.0,DDR4,2,Intel H170,1
AM4,LGA1700,2,2,3.8,4.0,65.0,DDR5,4,Intel B760,0
LGA2011,LGA1700,4,8,3.5,3.6,140.0,DDR5,4,Intel Z790,0
AM4,LGA1851,4,4,3.0,3.5,35.0,DDR5,4,Intel B860,0
LGA1151,LGA1151,4,8,3.4,3.8,80.0,DDR4,4,Intel Z390,1
AM4,AM4,8,16,3.8,4.8,105.0,DDR4,4,AMD B350,1
LGA1700,LGA1700,6,12,2.5,4.4,65.0,DDR5,2,Intel Z790,1
LGA2011,LGA2011,10,20,2.2,3.1,85.0,DDR4,8,Intel X99,1
AM4,AM4,6,12,3.7,4.7,65.0,DDR4,4,AMD X470,1
TR4,LGA1851,16,32,3.5,4.4,180.0,DDR5,4,Intel Z890,0
LGA1151,LGA1151,6,12,4.0,5.0,95.0,DDR4,4,Intel Z390,1
AM5,LGA1150,6,12,3.8,5.2,65.0,DDR3,4,Intel B85,0
LGA2066,LGA1150,4,4,4.0,4.2,112.0,DDR3,4,Intel B85,0
LGA2066,LGA1700,8,16,3.8,4.5,165.0,DDR5,2,Intel H610,0
LGA1150,LGA1150,4,8,3.5,3.9,84.0,DDR3,2,Intel H97,1
STR5,LGA1151,64,128,3.2,5.4,350.0,DDR3,2,Intel B150,0
LGA1200,LGA1700,10,20,3.6,5.2,125.0,DDR4,2,Intel H610,0
AM4,LGA1200,6,12,3.8,4.5,95.0,DDR4,4,Intel Z490,0
LGA2066,LGA1200,6,12,3.5,4.0,140.0,DDR4,4,Intel B460,0
LGA1151,LGA1151,8,8,3.6,4.9,95.0,DDR4,4,Intel B360,1
LGA1700,TR4,14,20,3.5,5.3,125.0,DDR4,8,AMD X399,0
FM2,LGA1200,2,2,3.8,4.0,65.0,DDR4,2,Intel H510,0
LGA1151,LGA1151,6,12,3.7,4.7,95.0,DDR4,2,Intel H370,1
LGA1151,LGA1151,4,8,3.6,4.0,80.0,DDR4,4,Intel B365,1
LGA1151,LGA1151,6,6,2.9,4.1,65.0,DDR4,4,Intel B365,1
AM4,LGA2011,8,16,3.9,4.7,105.0,DDR4,16,Intel C612,0
LGA1151,LGA1150,4,8,3.6,4.0,80.0,DDR3,2,Intel H81,0
LGA2011,LGA1151,4,8,3.5,3.8,130.0,DDR4,4,Intel B150,0
AM5,AM5,6,12,4.0,4.5,65.0,DDR5,4,AMD B850,1
LGA1700,LGA1700,12,20,3.6,4.9,125.0,DDR5,4,Intel Z790,1
LGA1151,LGA1151,6,12,3.7,4.7,95.0,DDR4,4,Intel Z270,1
LGA1151,LGA1151,4,8,4.0,4.9,83.0,DDR4,4,Intel Z170,1
LGA2011,LGA1700,6,12,2.6,3.1,80.0,DDR4,4,Intel Z690,0
LGA1151,AM4,4,4,2.8,3.4,65.0,DDR4,4,AMD B450,0
LGA2011,AM4,14,28,2.6,3.6,145.0,DDR4,2,AMD B550,0
LGA1151,LGA1151,4,4,3.6,4.2,65.0,DDR4,4,Intel Z270,1
LGA1700,LGA1700,14,20,1.6,4.6,35.0,DDR5,4,Intel Z790,1
AM4,AM4,8,16,3.9,4.7,105.0,DDR4,4,AMD B450,1
AM4,AM4,2,2,3.8,4.0,65.0,DDR4,4,AMD B550,1
AM4,LGA1700,8,16,3.0,3.7,65.0,DDR4,4,Intel B760,0
LGA1700,LGA1155,24,32,2.0,5.6,65.0,DDR3,4,Intel B75,0
LGA1851,LGA1851,24,24,3.7,5.5,125.0,DDR5,4,Intel Z890,1
LGA1700,LGA1700,12,20,2.1,4.9,65.0,DDR4,4,Intel B660,1
LGA1151,LGA1700,6,6,3.0,4.4,65.0,DDR5,4,Intel Z790,0
LGA1151,LGA1155,8,16,4.0,5.0,127.0,DDR3,4,Intel H67,0
AM4,LGA1150,8,16,3.4,4.5,105.0,DDR3,4,Intel Z97,0
LGA1155,LGA1851,4,4,3.1,3.3,77.0,DDR5,4,Intel Z890,0
LGA1700,LGA1700,10,16,2.5,4.7,65.0,DDR4,4,Intel B760,1
LGA2011,LGA1151,8,16,2.2,3.0,95.0,DDR4,2,Intel H310,0
LGA1200,LGA1200,10,20,3.6,5.2,125.0,DDR4,4,Intel Z490,1
LGA1151,LGA1151,4,4,4.0,4.6,91.0,DDR4,4,Intel B365,1
LGA1151,LGA1151,8,16,3.4,5.0,80.0,DDR4,2,Intel H110,1
LGA1700,AM4,24,32,3.2,6.0,125.0,DDR4,4,AMD X570,0
LGA1151,LGA1151,6,6,3.0,4.1,65.0,DDR4,4,Intel Z170,1
LGA2011,LGA1155,6,12,3.7,4.0,130.0,DDR3,4,Intel Z68,0
AM4,AM4,2,4,3.2,,35.0,DDR4,4,AMD X570,1
AM4,AM5,6,12,3.6,4.2,95.0,DDR5,2,AMD B850,0
LGA2011,LGA1155,8,16,1.8,2.3,70.0,DDR3,2,Intel H61,0
LGA1700,LGA1700,24,32,3.2,5.6,125.0,DDR4,4,Intel B760,1
STR5,LGA1200,16,32,4.5,5.3,350.0,DDR4,4,Intel Z590,0
LGA2011,LGA2011,8,16,2.9,3.8,135.0,DDR3,8,Intel X79,1
LGA1700,AM4,6,12,2.5,4.4,65.0,DDR4,4,AMD X370,0
FM2+,AM5,4,4,4.0,4.2,95.0,DDR5,2,AMD A620,0
AM4,AM4,4,8,3.5,3.7,65.0,DDR4,4,AMD A520,1
FM2+,LGA1851,4,4,4.0,4.2,95.0,DDR5,4,Intel B860,0
FM2+,LGA1200,4,4,4.1,4.3,95.0,DDR4,4,Intel Z490,0
AM4,AM4,4,4,3.2,3.6,65.0,DDR4,4,AMD X570,1
LGA2066,LGA2066,10,20,3.5,4.5,165.0,DDR4,8,Intel X299,1
AM4,AM4,6,12,3.2,3.6,65.0,DDR4,4,AMD X570,1
LGA1700,LGA1700,20,28,2.1,5.4,65.0,DDR5,4,Intel Z790,1
LGA1151,LGA1151,4,4,3.0,3.5,65.0,DDR4,4,Intel B360,1
LGA1151,LGA1151,6,6,3.1,4.6,65.0,DDR4,2,Intel H310,1
LGA1700,LGA1700,24,32,3.2,6.0,125.0,DDR5,4,Intel Z690,1
TR4,AM5,16,32,3.5,4.4,180.0,DDR5,4,AMD B850,0
LGA1151,AM5,8,16,3.1,5.0,65.0,DDR5,4,AMD X670E,0
LGA2011,LGA1151,4,8,3.0,3.5,105.0,DDR4,2,Intel H370,0
LGA1151,LGA1700,4,4,3.3,3.9,65.0,DDR4,4,Intel B760,0
LGA1700,LGA1700,12,20,3.6,4.9,125.0,DDR5,2,Intel B760,1
LGA1151,LGA1151,4,8,3.6,4.2,65.0,DDR4,4,Intel Z390,1
AM5,AM5,6,12,3.8,5.1,65.0,DDR5,4,AMD A620,1
LGA1200,LGA1200,8,16,2.5,5.2,65.0,DDR4,4,Intel Z590,1
STR5,AM3,24,48,4.2,5.4,350.0,DDR3,2,NVIDIA GeForce 7025,0
LGA2011,LGA2011,6,12,3.6,3.8,140.0,DDR4,8,Intel X99,1
AM4,AM4,8,16,3.4,4.6,65.0,DDR4,4,AMD B550,1
LGA1200,AM4,4,8,3.7,4.4,65.0,DDR4,4,AMD B450,0
LGA2066,LGA1151,12,24,3.5,4.4,165.0,DDR4,4,Intel Z170,0
LGA1200,LGA1200,6,12,3.3,4.8,65.0,DDR4,4,Intel Z590,1
LGA1151,LGA1151,4,4,3.4,3.8,65.0,DDR4,2,Intel H110,1
LGA1700,LGA1700,10,16,3.7,4.9,125.0,DDR4,4,Intel Z690,1
LGA1200,LGA1200,8,16,2.9,4.8,65.0,DDR4,2,Intel H510,1
AM4,AM4,6,12,3.6,4.2,65.0,DDR4,2,AMD A320,1
LGA2011,LGA1200,12,24,2.5,3.3,120.0,DDR4,4,Intel Z490,0
LGA2066,LGA1851,16,32,2.8,4.4,165.0,DDR5,4,Intel Z890,0
AM5,AM3+,12,24,3.7,5.4,65.0,DDR3,4,AMD 990FX,0
AM4,AM4,4,4,3.5,3.8,65.0,DDR4,4,AMD X570,1
AM3+,AM5,8,8,4.0,4.2,125.0,DDR5,2,AMD A620A,0
AM4,AM4,12,24,3.8,4.6,105.0,DDR4,4,AMD A520,1
AM4,AM4,4,4,3.1,3.4,65.0,DDR4,4,AMD B550,1
LGA1151,LGA1151,2,4,3.4,,35.0,DDR4,4,Intel B365,1
LGA2011,LGA2011,6,12,3.5,3.8,130.0,DDR3,6,Intel X79,1
STR5,AM4,12,24,4.7,5.4,350.0,DDR4,2,AMD B350,0
LGA1700,LGA1700,16,24,2.4,5.1,65.0,DDR4,4,Intel B660,1
LGA1151,LGA1151,4,4,3.8,4.2,91.0,DDR4,4,Intel Z270,1
AM4,LGA1151,6,12,3.9,4.4,65.0,DDR4,4,Intel H170,0
LGA1200,AM4,2,2,3.4,,58.0,DDR4,2,AMD B450,0
AM4,LGA1151,6,12,3.4,3.9,65.0,DDR4,2,Intel H110,0
LGA1150,LGA1151,4,4,2.8,3.3,65.0,DDR4,4,Intel Z370,0
AM4,LGA2066,6,12,3.6,4.1,65.0,DDR4,8,Intel X299,0
AM5,AM4,12,24,4.4,5.6,120.0,DDR4,2,AMD B450,0
AM5,AM5,6,12,4.0,4.5,65.0,DDR5,4,AMD B840,1
LGA1151,LGA1151,6,6,2.9,4.1,65.0,DDR4,4,Intel Z370,1
AM5,AM5,8,16,4.2,5.1,65.0,DDR5,4,AMD B650,1
LGA1200,LGA1200,10,20,3.6,5.2,125.0,DDR4,4,Intel B460,1
LGA2066,LGA2066,8,16,3.8,4.5,165.0,DDR4,8,Intel X299,1
LGA2011,LGA2011,14,28,1.7,2.5,65.0,DDR4,8,Intel X99,1
TR4,AM4,12,24,3.5,4.3,180.0,DDR4,4,AMD A520,0
AM4,AM4,6,12,3.6,4.2,95.0,DDR4,2,AMD A320,1
AM4,AM3+,4,8,3.2,3.4,65.0,DDR3,4,AMD 990FX,0
LGA1151,LGA1151,6,12,3.5,4.5,80.0,DDR4,4,Intel B250,1
LGA1151,LGA1151,6,6,3.6,4.3,95.0,DDR4,2,Intel Z270,1
LGA1700,LGA1151,4,8,3.4,4.5,58.0,DDR4,2,Intel H110,0
LGA1150,AM4,4,8,3.3,3.7,65.0,DDR4,4,AMD X570,0
LGA1151,LGA1155,6,6,2.8,4.0,65.0,DDR3,2,Intel B75,0
LGA1151,LGA1151,4,4,2.2,2.8,35.0,DDR4,4,Intel Z270,1
LGA1150,AM5,4,8,3.3,3.7,80.0,DDR5,2,AMD B650,0
LGA2011,AM5,8,16,2.9,3.8,135.0,DDR5,4,AMD B650,0
LGA1151,LGA1700,4,8,3.5,3.9,80.0,DDR4,2,Intel H610,0
LGA1150,AM5,4,8,3.6,4.0,84.0,DDR5,4,AMD B650,0
LGA2066,LGA1200,18,36,3.0,4.8,165.0,DDR4,2,Intel B560,0
LGA1150,LGA1151,4,4,2.9,3.4,65.0,DDR4,4,Intel B360,0
AM5,AM4,8,16,4.2,5.1,65.0,DDR4,2,AMD B350,0
AM4,LGA1151,6,12,3.3,4.4,105.0,DDR4,2,Intel H110,0
LGA1151,LGA1151,6,6,2.9,4.1,65.0,DDR4,4,Intel Z390,1
AM5,AM5,8,16,4.5,5.4,105.0,DDR5,2,AMD B650,1
LGA1151,AM5,6,6,3.7,4.6,95.0,DDR5,4,AMD B650,0
LGA1150,LGA1150,4,8,3.4,3.8,84.0,DDR3,4,Intel Z97,1
AM5,AM5,8,16,4.1,5.0,65.0,DDR5,2,AMD B650,1
AM4,AM4,6,12,3.6,4.4,65.0,DDR4,4,AMD B550,1
LGA1151,LGA1151,4,8,4.0,4.2,91.0,DDR4,2,Intel H310,1
AM4,AM4,4,4,3.5,3.7,65.0,DDR4,4,AMD B450,1
LGA1700,AM4,4,8,3.4,4.5,58.0,DDR4,2,AMD A320,0
LGA1700,LGA1700,16,24,3.4,5.3,125.0,DDR4,2,Intel B660,1
LGA2066,AM4,12,24,3.5,4.4,165.0,DDR4,4,AMD B550,0
LGA2011,LGA1151,10,20,2.3,3.0,105.0,DDR4,2,Intel Z390,0
LGA1151,LGA1150,4,8,3.4,4.0,65.0,DDR3,2,Intel H81,0
TR4,LGA1155,24,48,3.0,4.2,250.0,DDR3,2,Intel H61,0
LGA2011,LGA2011,4,8,3.5,3.6,140.0,DDR4,8,Intel C612,1
LGA1151,LGA1151,6,12,2.4,4.0,35.0,DDR4,4,Intel Z370,1
AM4,LGA1851,8,16,3.2,4.1,65.0,DDR5,4,Intel B860,0
LGA1150,LGA1851,4,8,3.4,3.8,84.0,DDR5,2,Intel B860,0
STR5,LGA1151,32,64,4.0,5.4,350.0,DDR4,4,Intel C246,0
LGA1150,LGA1150,4,8,3.6,4.0,84.0,DDR3,4,Intel Z97,1
LGA1151,LGA1151,6,12,3.5,4.5,80.0,DDR4,4,Intel Z170,1
LGA1151,LGA1151,6,12,3.7,4.7,80.0,DDR4,4,Intel Z390,1
G34,LGA1700,8,8,2.8,3.3,115.0,DDR4,4,Intel B760,0
AM4,AM4,4,4,3.8,4.0,65.0,DDR4,4,AMD B450,1
LGA1151,LGA1151,4,4,3.3,3.9,65.0,DDR4,4,Intel B360,1
LGA1200,LGA1200,8,16,3.8,5.1,125.0,DDR4,4,Intel Z490,1
LGA1151,AM4,2,4,3.7,,58.0,DDR4,4,AMD B450,0
LGA1150,AM4,4,8,2.7,3.9,45.0,DDR4,4,AMD B350,0
LGA2066,LGA1150,18,36,2.6,4.4,165.0,DDR3,4,Intel Z97,0
LGA1151,LGA1200,6,6,3.7,4.6,95.0,DDR4,4,Intel Z590,0
LGA1700,LGA1700,4,8,3.5,4.7,60.0,DDR4,4,Intel Z790,1
LGA1151,LGA1151,8,16,3.6,5.0,95.0,DDR4,2,Intel H310,1
LGA1151,LGA1151,4,4,2.7,3.5,35.0,DDR4,2,Intel H170,1
LGA2011,AM4,4,8,3.7,3.9,130.0,DDR4,4,AMD X470,0
LGA1151,LGA1700,4,8,2.8,3.6,35.0,DDR4,2,Intel B760,0
AM5,AM4,16,32,4.3,5.7,170.0,DDR4,4,AMD A320,0
LGA1151,LGA1151,6,12,3.7,4.7,80.0,DDR4,4,Intel B360,1
LGA1700,LGA1200,24,32,3.0,5.8,125.0,DDR4,2,Intel B560,0
LGA2011,LGA1151,6,12,2.6,3.1,80.0,DDR4,4,Intel Z170,0
LGA2066,LGA1700,8,16,3.8,4.5,165.0,DDR5,4,Intel B760,0
LGA1151,LGA1151,4,4,2.7,3.3,35.0,DDR4,4,Intel Z170,1
AM4,AM4,8,16,3.8,4.6,65.0,DDR4,4,AMD B450,1
LGA1151,LGA1151,8,16,3.4,5.0,80.0,DDR4,4,Intel C232,1
LGA1151,AM4,8,16,3.6,5.0,95.0,DDR4,4,AMD X570,0
LGA2011,LGA1700,20,40,2.2,3.6,135.0,DDR4,4,Intel B660,0
AM4,AM4,8,16,3.9,4.5,105.0,DDR4,4,AMD B550,1
LGA1150,LGA1150,4,8,3.5,3.9,84.0,DDR3,4,Intel Z97,1
LGA1151,LGA1200,4,4,4.0,,91.0,DDR4,2,Intel H510,0
LGA1700,LGA1700,24,32,3.2,5.6,125.0,DDR5,4,Intel Z790,1
LGA1151,AM5,6,6,2.8,4.0,65.0,DDR5,4,AMD X670,0
LGA2011,AM4,4,8,3.5,3.6,140.0,DDR4,2,AMD X470,0
LGA1851,LGA1851,20,20,2.4,5.3,65.0,DDR5,2,Intel Z890,1
AM4,AM4,6,12,3.7,4.2,65.0,DDR4,4,AMD X570,1
LGA1151,LGA1200,8,16,3.4,5.0,80.0,DDR4,4,Intel Z490,0
FM2+,LGA1700,4,4,3.3,3.8,95.0,DDR4,2,Intel B660,0
LGA1151,LGA1151,4,4,2.8,3.7,35.0,DDR4,2,Intel Z390,1
LGA1700,LGA1851,6,12,2.5,4.4,65.0,DDR5,4,Intel Z890,0
LGA1700,LGA1700,20,28,2.1,5.4,65.0,DDR4,4,Intel B660,1
LGA2011,LGA775,6,12,3.4,3.6,140.0,DDR3,4,Intel P45,0
LGA1151,LGA1151,4,8,3.8,4.2,73.0,DDR4,4,Intel H170,1
TRX4,AM5,32,64,3.7,4.5,280.0,DDR5,2,AMD B650,0
LGA1151,LGA1700,6,6,3.0,4.1,65.0,DDR4,2,Intel B760,0
LGA1151,LGA1700,4,4,3.4,4.5,71.0,DDR4,4,Intel Z690,0
LGA1151,LGA1151,4,4,2.5,3.1,35.0,DDR4,4,Intel Z170,1
LGA2011,LGA2011,14,28,2.3,3.3,120.0,DDR4,4,Intel C612,1
LGA1151,LGA1151,6,12,3.3,4.5,80.0,DDR4,4,Intel Z270,1
LGA2011,LGA1155,8,16,3.1,3.8,150.0,DDR3,4,Intel B75,0
LGA1200,LGA1151,6,12,2.7,4.6,65.0,DDR4,2,Intel B150,0
LGA2011,LGA2011,10,20,3.1,3.5,160.0,DDR3,8,Intel C602,1
LGA1700,LGA1851,14,20,3.5,5.3,125.0,DDR5,2,Intel H810,0
AM4,LGA1700,4,4,3.1,3.4,65.0,DDR5,2,Intel B760,0
AM5,AM5,8,16,4.1,5.0,65.0,DDR5,4,AMD X870E,1
LGA1151,LGA1151,4,8,3.7,4.1,73.0,DDR3,4,Intel B150,1
LGA1151,LGA1151,4,4,2.5,3.1,35.0,DDR4,4,Intel Z370,1
LGA1700,LGA1700,14,20,2.6,5.0,65.0,DDR5,4,Intel Z790,1
LGA1150,LGA1151,4,4,2.8,3.3,65.0,DDR4,4,Intel B250,0
LGA2011,LGA2011,6,12,3.5,3.7,140.0,DDR4,8,Intel X99,1
LGA1851,LGA1851,20,20,3.9,5.5,125.0,DDR5,2,Intel B860,1
AM4,LGA1200,4,4,3.5,3.7,65.0,DDR4,2,Intel H510,0
AM5,AM5,16,32,4.5,5.7,170.0,DDR5,4,AMD B850,1
LGA2011,LGA1150,14,28,2.6,3.5,135.0,DDR3,4,Intel Z87,0
LGA1200,LGA1200,8,16,3.8,5.1,125.0,DDR4,4,Intel Z490,1
LGA1200,LGA1151,6,12,2.7,4.6,65.0,DDR4,4,Intel Z270,0
LGA1200,LGA1200,8,16,3.5,5.3,125.0,DDR4,4,Intel B560,1
LGA2011,AM5,10,20,2.3,3.0,105.0,DDR5,4,AMD X870E,0
AM4,AM4,4,8,3.6,3.9,65.0,DDR4,4,AMD B550,1
AM5,LGA2011,8,16,4.2,5.0,120.0,DDR3,8,Intel X79,0
AM5,AM5,6,12,4.1,4.7,65.0,DDR5,4,AMD B650,1
